a,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52253067,Plaka Filotheis Cozy apt A,31290848,Nasos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.974369,23.730022,Entire home/apt,60,2,3,02-11-2021,1.11,16,365,3,1355030
52253526,Konstantinou Apartment - Smart & rooftop terrasse,422958142,Konstantinou,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.018,23.72619,Entire home/apt,34,2,4,05-12-2021,1.94,1,346,4,1362660
52255905,FOS DownTown SUITES - Junior Suite,422824931,Fos DownTown,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97605,23.73205,Private room,96,1,0,,,7,358,0,14188300100
52262995,Markos cosy studio,215808839,Markos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9846,23.73416,Entire home/apt,35,3,1,07-10-2021,0.38,1,173,1,1352200
52271620,YourSpace1 in Athens/Kalimarmaro historical center,422745089,Nassis,,ΣΤΑΔΙΟ,37.96966,23.74207,Private room,17,1,0,,,13,177,0,210701
52272312,YourSpace2 in Athens/Kalimarmaro Historical center,422745089,Nassis,,ΠΑΓΚΡΑΤΙ,37.97169,23.74347,Private room,19,1,0,,,13,178,0,210702
52272935,YourSpace3 in Athens/Kalimarmaro Historical center,422745089,Nassis,,ΠΑΓΚΡΑΤΙ,37.97166,23.74364,Private room,18,1,3,21-11-2021,1.67,13,180,3,210703
52273163,NLH Kerameikos | Deluxe Double Room,160981038,Nlh,,ΚΕΡΑΜΕΙΚΟΣ,37.97909,23.72164,Private room,74,1,0,,,20,336,0,0206K134K0340101
52273762,NLH Kerameikos | Executive Suite Veranda,160981038,Nlh,,ΠΕΤΡΑΛΩΝΑ,37.97922,23.71984,Private room,81,1,0,,,20,340,0,0206K134K0340101
52273971,NLH Kerameikos | Acropolis View Suite,160981038,Nlh,,ΚΕΡΑΜΕΙΚΟΣ,37.97896,23.72127,Private room,98,1,0,,,20,359,0,0206K134K0340101
52274078,NLH Kerameikos | Grand Suite,160981038,Nlh,,ΚΕΡΑΜΕΙΚΟΣ,37.98045,23.71983,Private room,88,1,0,,,20,354,0,0206K134K0340101
52274249,FOS DownTown SUITES - Superior Suite,422824931,Fos DownTown,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976856,23.731842,Private room,110,1,0,,,7,365,0,14188300100
52274462,YourSpace5 in Athens/Kalimarmaro Historical center,422745089,Nassis,,ΣΤΑΔΙΟ,37.96948,23.74209,Entire home/apt,17,1,4,17-10-2021,1.29,13,180,4,210705
52274888,YourSpace6 in Athens/Kalimarmaro Historical center,422745089,Nassis,,ΠΑΓΚΡΑΤΙ,37.96981,23.74326,Private room,18,1,1,12-10-2021,0.41,13,180,1,210706
52274942,FOS DownTown SUITES - Senior Suite,422824931,Fos DownTown,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97645,23.73079,Private room,140,1,0,,,7,365,0,14188300100
52275258,YourSpace7 in Athens/Kalimarmaro Historical center,422745089,Nassis,,ΠΑΓΚΡΑΤΙ,37.97144,23.74367,Private room,19,1,1,21-11-2021,0.91,13,365,1,210707
52275760,Historic Elegant 2 Bdr Apartment,570423,Despoina,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97445,23.73056,Entire home/apt,117,2,1,12-12-2021,1,2,359,1,230227
52275780,FOS DownTown SUITES - Apartment,422824931,Fos DownTown,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97768,23.73213,Private room,150,1,0,,,7,347,0,14188300100
52276241,WineSpa1 Suite in Athens Historical center -Enjoy!,422745089,Nassis,,ΠΑΓΚΡΑΤΙ,37.97025,23.74424,Private room,22,1,0,,,13,154,0,756931
52276749,FOS DownTown SUITES - Grand Suite,422824931,Fos DownTown,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9826,23.72634,Private room,155,1,0,,,7,363,0,14188300100
52277096,WineSpa2 Suite in Athens Historical center - Enjoy,422745089,Nassis,,ΠΑΓΚΡΑΤΙ,37.97177,23.74271,Private room,20,1,0,,,13,156,0,756932
52277875,WineSpa3 Suite in Athens Historical center - Enjoy,422745089,Nassis,,ΠΑΓΚΡΑΤΙ,37.96975,23.74311,Private room,22,1,3,30-10-2021,1.1,13,155,3,756933
52279153,"1BDR fully renovated, quiet with private patio",333699103,Hestia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9903,23.73743,Entire home/apt,110,1,0,,,21,346,0,1216945
52292244,FOS DownTown SUITES - Penthouse,422824931,Fos DownTown,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9772,23.73058,Private room,145,1,0,,,7,364,0,14188300100
52297183,Athens life,113514876,Aleksandra,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99879,23.72763,Entire home/apt,33,1,6,24-10-2021,1.98,1,140,6,1353223
52297302,Athens Apartment at Kolonaki Metro Sration,339973983,Dimitrios,,ΚΟΛΩΝΑΚΙ,37.97641,23.74664,Entire home/apt,26,1,10,29-11-2021,3.13,1,361,10,1348972
52300715,Athens SmArt Stay Apartment,266097571,Vesna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98974,23.72259,Entire home/apt,34,1,0,,,10,324,0,538820
52301571,Warm cozy home in center city from metro 100 meter,371122573,Bella,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99475,23.72892,Entire home/apt,22,1,10,08-12-2021,3.16,3,86,10,Exempt
52302944,shiny 2 bedrooms apartment @ 50m metro Metaxourgio,90390850,Evan&Anetta,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.988132,23.721748,Entire home/apt,46,1,16,15-12-2021,5.93,39,117,16,1172708
52303332,Ilisia Park Contemporary 2BD Condo,194133744,Eleni & Athina,,ΙΛΙΣΙΑ,37.97791,23.7548,Entire home/apt,90,1,4,14-11-2021,1.3,8,355,4,1364930
52315294,Cozy apartment in the heart of the city,25485075,Nikolaos,,ΖΑΠΠΕΙΟ,37.97102,23.74135,Entire home/apt,100,3,0,,,3,365,0,1350313
